"Position","Name","Salary","GameInfo","Score","teamAbbrev"
"WR","DeAndre Hopkins",9200,"IND@HOU 11/05/2017 01:00PM ET",21.943,"HOU"
"RB","Ezekiel Elliott",9000,"KC@DAL 11/05/2017 04:25PM ET",24.000,"DAL"
"RB","LeSean McCoy",8700,"BUF@NYJ 11/02/2017 08:25PM ET",19.614,"BUF"
"RB","Kareem Hunt",8600,"KC@DAL 11/05/2017 04:25PM ET",22.750,"KC"
"RB","Leonard Fournette",8400,"CIN@JAX 11/05/2017 01:00PM ET",23.200,"JAX"
"QB","Deshaun Watson",8100,"IND@HOU 11/05/2017 01:00PM ET",26.266,"HOU"
"RB","Todd Gurley II",8100,"LAR@NYG 11/05/2017 01:00PM ET",25.286,"LAR"
"WR","Julio Jones",7800,"ATL@CAR 11/05/2017 01:00PM ET",14.286,"ATL"
"WR","Mike Evans",7700,"TB@NO 11/05/2017 01:00PM ET",16.414,"TB"
"RB","Mark Ingram",7600,"TB@NO 11/05/2017 01:00PM ET",17.486,"NO"
"WR","A.J. Green",7400,"CIN@JAX 11/05/2017 01:00PM ET",17.743,"CIN"
"QB","Russell Wilson",7300,"WAS@SEA 11/05/2017 04:05PM ET",24.531,"SEA"
"WR","Michael Thomas",7200,"TB@NO 11/05/2017 01:00PM ET",14.571,"NO"
"WR","Will Fuller V",7000,"IND@HOU 11/05/2017 01:00PM ET",21.700,"HOU"
"QB","Drew Brees",7000,"TB@NO 11/05/2017 01:00PM ET",18.591,"NO"
"WR","Doug Baldwin",6900,"WAS@SEA 11/05/2017 04:05PM ET",14.529,"SEA"
"TE","Zach Ertz",6800,"DEN@PHI 11/05/2017 01:00PM ET",16.350,"PHI"
"TE","Travis Kelce",6700,"KC@DAL 11/05/2017 04:25PM ET",16.663,"KC"
"QB","Dak Prescott",6700,"KC@DAL 11/05/2017 04:25PM ET",21.366,"DAL"
"WR","Tyreek Hill",6700,"KC@DAL 11/05/2017 04:25PM ET",15.563,"KC"
"RB","Devonta Freeman",6600,"ATL@CAR 11/05/2017 01:00PM ET",15.214,"ATL"
"WR","Amari Cooper",6600,"OAK@MIA 11/05/2017 08:30PM ET",11.975,"OAK"
"RB","Christian McCaffrey",6500,"ATL@CAR 11/05/2017 01:00PM ET",14.063,"CAR"
"QB","Alex Smith",6500,"KC@DAL 11/05/2017 04:25PM ET",22.580,"KC"
